Time, A, B
0.0, 1.0, 9.0
0.5, 21.0, 17.0
1.0, 21.0, 18.0
1.5, 21.0, 19.0
2.0, 21.0, 18.0
2.5, 21.0, 17.0
3.0, 21.0, 18.0
3.5, 21.0, 17.0
4.0, 21.0, 17.0
4.5, 21.0, 17.0
5.0, 20.0, 18.0
5.5, 20.0, 18.0
6.0, 22.0, 18.0
6.5, 22.0, 18.0
7.0, 21.0, 19.0
7.5, 22.0, 18.0
8.0, 22.0, 18.0
8.5, 21.0, 18.0
9.0, 22.0, 22.0
9.5, 23.0, 23.0
10.0, 22.0, 23.0
10.5, 23.0, 22.0
11.0, 23.0, 22.0
11.5, 22.0, 22.0
12.0, 22.0, 22.0
12.5, 23.0, 22.0
13.0, 22.0, 23.0
13.5, 22.0, 22.0
14.0, 23.0, 22.0
14.5, 22.0, 22.0
15.0, 23.0, 23.0
15.5, 23.0, 23.0
16.0, 22.0, 22.0
16.5, 22.0, 22.0
17.0, 22.0, 23.0
17.5, 22.0, 22.0
18.0, 22.0, 22.0
18.5, 22.0, 22.0
19.0, 22.0, 23.0
19.5, 22.0, 22.0
20.0, 22.0, 22.0
20.5, 22.0, 22.0
21.0, 22.0, 22.0
21.5, 22.0, 21.0
22.0, 21.0, 22.0
22.5, 21.0, 22.0
23.0, 22.0, 22.0
23.5, 22.0, 22.0
24.0, 21.0, 21.0
24.5, 22.0, 23.0
25.0, 22.0, 21.0
25.5, 22.0, 22.0
26.0, 21.0, 22.0
26.5, 22.0, 21.0
27.0, 22.0, 22.0
27.5, 22.0, 23.0
28.0, 22.0, 21.0
28.5, 22.0, 22.0
29.0, 22.0, 21.0
29.5, 22.0, 21.0
30.0, 22.0, 22.0
30.5, 22.0, 22.0
31.0, 22.0, 22.0
31.5, 22.0, 21.0
32.0, 22.0, 21.0
32.5, 22.0, 22.0
33.0, 22.0, 22.0
33.5, 21.0, 21.0
34.0, 23.0, 22.0
34.5, 22.0, 21.0
35.0, 21.0, 21.0
35.5, 22.0, 22.0
36.0, 21.0, 21.0
36.5, 22.0, 22.0
37.0, 22.0, 21.0
37.5, 21.0, 22.0
38.0, 22.0, 22.0
38.5, 21.0, 22.0
39.0, 22.0, 21.0
39.5, 22.0, 21.0
40.0, 22.0, 22.0
40.5, 21.0, 21.0
41.0, 21.0, 22.0
41.5, 22.0, 21.0
42.0, 22.0, 22.0
42.5, 22.0, 21.0
43.0, 22.0, 22.0
43.5, 21.0, 21.0
44.0, 21.0, 22.0
44.5, 22.0, 21.0
45.0, 22.0, 22.0
45.5, 22.0, 22.0
46.0, 22.0, 21.0
46.5, 22.0, 21.0
47.0, 22.0, 21.0
47.5, 22.0, 22.0
48.0, 21.0, 22.0
48.5, 22.0, 21.0
49.0, 22.0, 21.0
49.5, 20.0, 21.0
50.0, 22.0, 22.0
50.5, 22.0, 22.0
51.0, 22.0, 22.0
51.5, 22.0, 21.0
52.0, 21.0, 22.0
52.5, 22.0, 22.0
53.0, 22.0, 21.0
53.5, 22.0, 22.0
54.0, 22.0, 23.0
54.5, 22.0, 22.0
55.0, 22.0, 22.0
55.5, 22.0, 21.0
56.0, 22.0, 22.0
56.5, 21.0, 22.0
57.0, 21.0, 22.0
57.5, 21.0, 22.0
58.0, 22.0, 22.0
58.5, 21.0, 22.0
59.0, 22.0, 22.0
59.5, 21.0, 22.0
60.0, 21.0, 21.0
60.5, 22.0, 21.0
61.0, 22.0, 22.0
61.5, 22.0, 23.0
62.0, 22.0, 23.0
62.5, 21.0, 22.0
63.0, 23.0, 23.0
63.5, 22.0, 22.0
64.0, 21.0, 24.0
64.5, 21.0, 26.0
65.0, 20.0, 26.0
65.5, 19.0, 27.0
66.0, 19.0, 27.0
66.5, 19.0, 28.0
67.0, 19.0, 27.0
67.5, 19.0, 28.0
68.0, 19.0, 28.0
68.5, 20.0, 27.0
69.0, 19.0, 27.0
69.5, 19.0, 30.0
70.0, 20.0, 29.0
70.5, 20.0, 30.0
71.0, 20.0, 29.0
71.5, 19.0, 29.0
72.0, 20.0, 29.0
72.5, 19.0, 29.0
73.0, 19.0, 29.0
73.5, 20.0, 28.0
74.0, 19.0, 29.0
74.5, 19.0, 29.0
75.0, 19.0, 29.0
75.5, 20.0, 29.0
76.0, 19.0, 29.0
76.5, 20.0, 29.0
77.0, 19.0, 29.0
77.5, 20.0, 29.0
78.0, 20.0, 29.0
78.5, 19.0, 30.0
79.0, 20.0, 29.0
79.5, 19.0, 29.0
80.0, 19.0, 29.0
80.5, 19.0, 29.0
81.0, 19.0, 29.0
